main_speaker,speaker_occupation
Yoruba Richen,Documentary filmmaker
Stella Young,Comedian
Stella Young, journalist
Stella Young, activist
Keren Elazari,Cybersecurity expert
Will Potter,Investigative journalist
Uri Alon,Systems biologist
AJ Jacobs,Author
Kwame Anthony Appiah,Philosopher
Anne Curzan ,Language historian
Ruth Chang,Philosopher
Jamila Lyiscott,Poet and educator
Billy Collins,Poet
Shaka Senghor,Author
Lorrie Faith Cranor,Security researcher
Naomi Oreskes,Historian of science
Ge Wang,Music technologist
Julian Treasure,Sound consultant
Chris Domas,Cybersecurity researcher
Sara Lewis,Firefly specialist
Simon Anholt,Policy advisor
Paul Bloom,Psychologist
George Takei,Actor and activist
Joi Ito,Relentless mind
Nicholas Negroponte,Tech visionary
Renata Salecl,Theorist
Karima Bennoune,Professor of international law
David Kwong,Cruciverbalist
David Chalmers,Philosopher
Nikolai Begg,Mechanical engineer
Shih Chieh Huang,Artist
Heather Barnett,Artist
Ze Frank,Humorist
Ze Frank, web artist
Shai Reshef,Education entrepreneur
Margaret Gould Stewart,User experience master
Hubertus Knabe,Historian
Janet Iwasa,Molecular animator
Megan Washington,Musician
Talithia Williams,Statistician
Nick Hanauer,Venture capitalist
Nick Hanauer, author
Dan Pacholke,Prison administrator and reformer
Eric Liu,Civics educator
Clint Smith,Poet
Clint Smith, educator
Tim Berners-Lee,Inventor
Aziza Chaouni,Architect + ecotourism specialist
Jarrett J. Krosoczka,Author/illustrator
Laurel Braitman,Science Historian + Writer
Ziyah Gaficí,Photographer + storyteller
Martin Rees,Astrophysicist
Rose Goslinga,Microinsurer
Meera Vijayann,Citizen journalist
Sally Kohn,Political pundit
Jill Shargaa,Comedian + Designer
Jim Holt,Writer and philosopher
Isabel Allende,Novelist
Shubhendu Sharma,Eco-entrepreneur
Colin Grant,Author
Colin Grant, historian
Zak Ebrahim,Peace activist
Dan Barasch,Strategist
Uldus Bakhtiozina,photographer + visual artist
Rishi Manchanda,Physician
Andrew Connolly,Astronomer
Mac Barnett,Children's book author
Avi Reichental,3D printer
Antonio Donato Nobre,Scientist
Lord Nicholas Stern,Climate economist
Kenneth Cukier,Data Editor of The Economist
Eman Mohammed,Photojournalist
Matthew O'Reilly,Emergency medical technician
Moshe Safdie,Architect
Francis de los Reyes,Environmental engineer
Francis de los Reyes, sanitation activist
Susan Colantuono,Leadership expert
Gail Reed,Cuban health care expert
Nancy Kanwisher,Brain researcher
Daria van den Bercken,Pianist
Thomas Piketty,Economist
Meaghan Ramsey,Self-esteem advocate
Pia Mancini,Democracy activist
Dilip Ratha,Remittances expert
Glenn Greenwald,Journalist
Jeff Iliff,Neuroscientist
Myriam Sidibe,Public-health expert
Jorge Soto,Cancer technologist
Melissa Fleming,Voice for refugees
Kitra Cahana,Vagabond photojournalist + conceptual artist
Susan Etlinger,Data analyst
Fred Swaniker,Educational entrepreneur
Joy Sun,Veteran aid worker
Fabien Cousteau,Ocean explorer and environmentalist
Marc Abrahams,Science humorist
Kimberley Motley,International litigator
Sergei Lupashin,Aerial robotics researcher
Frans Lanting,Nature photographer
Debra Jarvis,Chaplain + author
Jeremy Heimans,Activist
Alessandra Orofino,Political mobilization activist
Ameenah Gurib-Fakim,President of Mauritius
Kare Anderson,Writer
Alejandro Aravena,Urban architect
Haas&Hahn,Favela painters
Ramanan Laxminarayan,Drug-resistance economist
Michael Green,Social progress expert
Ethan Nadelmann,Drug policy reformer
Leana Wen,Emergency physician
Leana Wen, public health advocate
David Grady,Information security manager
Will Marshall,Space scientist
Nancy Frates,Mother + ALS Advocate
Joe Landolina,medical inventor
Rosie King,Storytelling activist
Mark Plotkin,Amazonian ethnobotanist
Emily Balcetis,Psychologist
Pico Iyer,Global author
Oren Yakobovich,Human-rights activist
Ben Saunders,Arctic explorer
Rainer Strack,Human resources expert
Barbara Natterson-Horowitz,Cardiologist
Jose Miguel Sokoloff,Anti-guerrilla creative
Anastasia Taylor-Lind,Documentary photographer
Thomas Hellum,Slow television advocate
Catherine Crump,Attorney + privacy advocate
Dave Troy,Technologist
Vern Myers,Diversity advocate
Jeremy Howard,Data scientist
Carol Dweck,Psychologist
Bruno Torturra,Livestreaming activist
Mundano,Graffiti artist + activist
Erin McKean,Dictionary editor
Michael Rubinstein,Research scientist
Michael Rubinstein, Google
Asha de Vos,Protector of whales
Daniele Quercia,Map researcher
Aziz Abu Sarah,Entrepreneur + educator
Fredy Peccerelli,Forensic anthropologist
Tasso Azevedo,Forester and sustainability activist
Navi Radjou,Innovation strategist
Robert Swan,Polar explorer
Robert Muggah,Megacities expert
Cristina Domenech,Poet and educator
Matthieu Ricard,Monk
Matthieu Ricard, author
Matthieu Ricard, photographer
Sarah Bergbreiter,Microroboticist
Joe Madiath,Social entrepreneur
Morgana Bailey,Human resources professional
Miguel Nicolelis,Neuroscientist
Severine Autesserre,Peace and conflict researcher
Khadija Gbla,Cross-cultural consultant
Bassam Tariq,Creative spirit
Zeynep Tufekci,Techno-sociologist
Bruce Aylward,Epidemiologist
Ben Ambridge,Psychologist
Tom Wujec,Designer
Brian Dettmer,No Occupation Noted
Jaap de Roode,Biologist
Ricardo Semler,Organizational changemaker
Kenneth Shinozuka,Smart product inventor
Hannah Fry,Complexity theorist
Guy Winch,Psychologist
Guy Winch, author
Nadine Burke Harris,Pediatrician
Laura Boushnak,Photographer
Angelo Vermeulen,Space researcher
Angelo Vermeulen, biologist
Angelo Vermeulen, artist
James A. White Sr.,Consultant
Rob Knight,Microbial ecologist
Khalida Brohi,WomenÛªs rights activist and entrepreneur
Romina Libster,Medical researcher
Ben Wellington,Data scientist
Helder GuimarÌ£es,Magician
Jon Gosier,Investor
Jon Gosier, data scientist
Jon Gosier, entrepreneur
Topher White,Conservation technologist
Harry Baker,Poet
Andy Yen,Secure email developer
Ilona SzabÌ_ de Carvalho,Policy reformer
Sangu Delle,Entrepreneur
Marc Kushner,Architect
Ismael Nazario,Prison reform advocate
Shimpei Takahashi,Toy designer
Linda Hill,Management professor
Vincent Cochetel,Humanitarian
Robyn Stein DeLuca,Psychologist
David Eagleman,Neuroscientist
Joseph DeSimone,Chemist
Joseph DeSimone, inventor
Monica Lewinsky,Social activist
Fei-Fei Li,Computer scientist
Anand Giridharadas,Writer
Dave Isay,Story collector
Theaster Gates,Artist
Theaster Gates, potter
Theaster Gates, community builder
Dame Stephanie Shirley,Entrepreneur and philanthropist
Alison Killing,Architect
Daniel Kish,Perceptual navigation specialist
Kevin Rudd,International relations expert 
Boniface Mwangi,No Occupation Noted
Bill Gates,Philanthropist
Bel Pesce,Entrepreneur
Eduardo SÌÁenz de CabezÌ_n,Math educator
Dan Ariely,Behavioral economist
Fred Jansen,Space explorer
Barat Ali Batoor,Photojournalist
Kailash Satyarthi,ChildrenÛªs rights activist
Takaharu Tezuka,Architect
Paul Tudor Jones II,Investor
Nathalie Cabrol,Planetary explorer
Gary Haugen,Human rights attorney
Jedidah Isler,Astrophysicist
Chris Milk,Immersive storyteller
Clint Smith,Poet
Clint Smith, educator
Nizar Ibrahim,Paleontologist
Nick Bostrom,Philosopher
Greg Gage,Neuroscientist
Sophie Scott,Neuroscientist
Sophie Scott, stand-up comic
Alice Goffman,Urban sociologist
Pamela Ronald,Plant geneticist
Abe Davis,Computer scientist
Tal Danino,Synthetic biologist
Dawn Landes,Singer-songwriter
Anand Varma,Photographer
Elora Hardy,Sustainable designer
Roman Mars,Digital storyteller
Cosmin Mihaiu,Physical therapy entrepreneur
Steven Wise,Animal rights lawyer
Esther Perel,Relationship therapist
Chris Burkard,Surf photographer
Jeffrey Brown,Pastor
Yassmin Abdel-Magied,Mechanical engineer
Yassmin Abdel-Magied, social advocate
Sara Seager,Exoplanet expert
Jimmy Nelson,Last tribes photographer
Bill Gross,Idea guy
Laura Schulz,Cognitive scientist
Tony Fadell,Product creator
Trevor Aaronson,Journalist
Linda Cliatt-Wayman,High school principal
Suki Kim,Writer
Sarah Jones,Polymorphic playwright
Donald Hoffman,Cognitive scientist
Lee Mokobe,Poet
Rana el Kaliouby,Computer scientist
Margaret Heffernan,Management thinker
Steve Silberman,Writer and editor
LaToya Ruby Frazier,Photographer
Roxane Gay,Writer
Chip Kidd,Graphic designer
Maryn McKenna,Public health journalist
Chris Urmson,Roboticist
Dame Ellen MacArthur,Circular economy advocate
Jimmy Carter,Peace activist
Latif Nasser,Radio researcher
Gayle Tzemach Lemmon,Reporter
Rajiv Maheswaran,Researcher
Memory Banda,Activist
Johann Hari,Journalist
Ash Beckham,Equality advocate
Noy Thrupkaew,Global journalist
Aspen Baker,Listener
Salvatore Iaconesi,Open-source engineer and artist
Marlene Zuk,Evolutionary biologist
Jon Ronson,Writer and filmmaker
Alaa Murabit,Peace expert
John Green,Writer
eL Seed,Artist
Yuval Noah Harari,Historian
Benedetta Berti,International policy analyst
Rich Benjamin,Social observer
Matt Kenyon,New media artist
Patience Mthunzi,Laser scientist
Alix Generous,Advocate
Manuel Lima,Data visualization researcher
Tony Wyss-Coray,Brain scientist
Christopher Soghoian,Privacy researcher and activist
Dustin Yellin,Sculptor 
Jim Al-Khalili,Quantum physicist
Seth Berkley,Vaccine visionary
Robin Murphy,Disaster roboticist
Yves Morieux,Consultant
Wendy Freedman,Astronomer
Elizabeth Nyamayaro,Political scientist
Jamie Bartlett,Social media analyst
Alan Eustace,Stratospheric explorer
Barry Schwartz,Psychologist
BJ Miller,Palliative care physician
Billie Jean King,Tennis legend and activist
David Rothkopf,Foreign policy strategist
Mia Birdsong,Family activist
Michael Kimmel,Sociologist
Mandy Len Catron,Writer
Scott Dinsmore,Writer
Scott Dinsmore, traveler
Sakena Yacoobi,Education activist
Frances Larson,Anthropologist
Mary Robinson,Global leader
Robin Morgan,Poet and activist
Samuel Cohen,Research scientist
Taiye Selasi,Author
Mac Stone,Photographer
Martin Pistorius,Author
Martin Pistorius, designer
Emilie Wapnick,Writer
Emilie Wapnick, coach
Emilie Wapnick, artist ...
Alice Bows-Larkin,Climate scholar
Siddhartha Mukherjee,Cancer physician and writer
Neri Oxman,Architect
Neri Oxman, designer
Sandrine Thuret,Neural stem cell researcher
Michael Green,Social progress expert
Vijay Kumar,Roboticist
Alyson McGregor,Women's health pioneer
Anders Fjellberg,Journalist
Meklit Hadero,Singer-songwriter
Will Potter,Investigative journalist
Jennifer Doudna,Biologist
Tea Uglow,Designer
Francesco Sauro,Speleologist
Hilary Cottam,Innovator and social entrepreneur
Cesar Harada,Inventor
Cesar Harada, environmentalist
Cesar Harada, educator
Christine Sun Kim,Sound artist
Christine Sun Kim, composer
Mathias Jud,Artist
Daniel Levitin,Neuroscientist
Nancy Lublin,Activist
Melissa Fleming,Voice for refugees
PatrÌ_cia Medici,Wildlife conservationist
Harald Haas,Communications technology innovator
Andreas EkstrÌ¦m,Author and journalist
Chelsea Shields,Activist
Chelsea Shields, anthropologist
Chelsea Shields, consultant
Jean-Paul Mari,Journalist and psychologist
Josh Luber,Sneaker data expert
Nonny de la PeÌ±a,Virtual reality pioneer
Carl Safina,Ecologist
Carl Safina, writer
Genevieve von Petzinger,Paleoanthropologist and rock art researcher
Ann Morgan,Writer
Ann Morgan, blogger
Ann Morgan, author
Regina Hartley,Human Resources Manager
Regina Hartley, UPS
Marina Abramovià,Performance artist
Kristen Marhaver,Coral reef biologist
Jessica Shortall,Strategy consultant
Jessica Shortall, social entrepreneur and author
Chieko Asakawa,Visionary inventor
Guillaume NÌ©ry,World champion freediver
Jedidah Isler,Astrophysicist
Danit Peleg,Fashion designer
Raymond Wang,Inventor
Paul Greenberg,Author
Lucianne Walkowicz,Stellar astronomer
Alison Killing,Architect
AntÌ_nio Guterres,Designate Secretary-General of the United Nations
Rodrigo Bijou,Security researcher 
Jason deCaires Taylor,Sculptor
Robert Waldinger,Psychiatrist
Robert Waldinger, psychoanalyst and Zen priest
Harry Cliff,Particle physicist
Sebastian Wernicke,Data scientist
Aomawa Shields,Astronomer
Aomawa Shields, astrobiologist
Aomawa Shields, actor
Aomawa Shields, writer
David Sedlak,Civil and environmental engineer
James Veitch,Comedian and writer
Tim Harford,Economist
Tim Harford, journalist and broadcaster
Melvin Russell,Chief of the Community Partnership Division
Melvin Russell, Baltimore Police Department
Wael Ghonim,Internet activist and computer engineer
Ole Scheeren,Architect
Jill Heinerth,Cave diver
Jill Farrant,Professor of molecular and cell biology
Oscar Schwartz,Writer and poet
Achenyo Idachaba,Green entrepreneur
Elizabeth Lev,Art historian
Yanis Varoufakis,Economist and professor
David Gruber,Marine biologist
David Gruber, explorer-photographer
Tania Simoncelli,Policy expert
Auke Ijspeert,Roboticist
Linda Liukas,Programmer
Linda Liukas, storyteller and illustrator
AndrÌ©s Ruzo,Geoscientist
Judson Brewer,Mindful addiction doctor
Pardis Sabeti,Computational geneticist
Matthew Williams,Special Olympics International Sargent Shriver Global Messenger
Dambisa Moyo,Global economist 
Sean Follmer,Human-computer interaction researcher and designer
Gregory Heyworth,Textual scientist
Mike Velings,Entrepreneur and conservationist
Dorothy Roberts,Professor
Dorothy Roberts, author and social justice advocate
Jocelyne Bloch,Functional neurosurgeon
Celeste Headlee,Writer and radio host
Shonda Rhimes,Writer and producer
Allan Adams,Theoretical physicist
Raffaello D'Andrea,Autonomous systems pioneer
Al Gore,Climate advocate
Dalia Mogahed,Muslim studies scholar
Audrey Choi,Sustainable investment expert
Mary Bassett,New York City Health Commissioner
Ivan Coyote,Writer
Ivan Coyote, performer
Thomas Peschak,Conservation photographer
Magda Sayeg,Textile artist
Russ Altman,Big data techno-å_optimist and internist
Alexander Betts,Social scientist
Travis Kalanick,Entrepreneur
Reshma Saujani,Education activist
Caleb Harper,Principal Investigator and Director of the Open Agriculture Initiative
Laura Robinson,Ocean scientist
Mileha Soneji,Product designer
Tshering Tobgay,Prime Minister of Bhutan
Casey Gerald,American
Joe Gebbia,Designer
Joe Gebbia, co-founder of Airbnb
Tim Urban,Blogger
Jessica Ladd,Founder and CEO
Jessica Ladd, Callisto
Arthur Brooks,Social scientist
Arthur Brooks, author 
Meron Gribetz,Founder and CEO
Meron Gribetz, Meta
Adam Foss,Juvenile justice reformer
Carol Fishman Cohen,CEO and co-founder
Carol Fishman Cohen, iRelaunch
Latif Nasser,Radio researcher
Siyanda Mohutsiwa,Writer
Alex Kipman,Inventor
AngÌ©lica Dass,Artist and photographer
Dan Gross,Gun-control activist
Lisa Nip,Synthetic biologist 
Knut Haanaes,Strategist
Adam Grant,Organizational psychologist
Haley Van Dyck,Disrupter
Parag Khanna,Global strategist
Danielle Feinberg,Director of photography
Danielle Feinberg, Pixar
Tabetha Boyajian,Astronomer
Robert Palmer,Campaign leader
Robert Palmer, Global Witness
Hugh Evans,Humanitarian
Stephen Petranek,Technology forecaster 
Paula Hammond,Medical researcher and educator 
Astro Teller,Entrepreneur
Astro Teller, inventor
Astro Teller, author
Mary Norris,Copy editor
Christiana Figueres,Climate advocate
Chris Anderson,TED Curator
Joshua Prager,Journalist
Juan Enriquez,Futurist
Aditi Gupta,Social entrepreneur
Aditi Gupta, co-founder of Menstrupedia
Kenneth Lacovara,Paleontologist
Shivani Siroya,Mobile finance entrepreneur
R. Luke DuBois,Artist
R. Luke DuBois, composer
R. Luke DuBois, engineer
Ameera Harouda,Fixer
Michael Metcalfe,Financial expert
Riccardo Sabatini,Scientist
Riccardo Sabatini, entrepreneur
Sarah Gray,Researchers' dream donator
Alice Rawsthorn,Design critic
Dan Pallotta,Author
Dan Pallotta, speaker
Dan Pallotta, reformer
Monica Byrne,Author and playwright
Michael Bodekaer,Entrepreneur
Jennifer Kahn,Science journalist
Uri Hasson,Neuroscientist
Sanford Biggers,Conceptual artist
Sangeeta Bhatia,Physician
Sangeeta Bhatia, bioengineer and entrepreneur 
Kang Lee,Developmental researcher
Laura Indolfi,Biomedical entrepreneur
Sebastian Junger,Journalist and documentarian
Juno Mac,Sex worker and activist
Trevor Timm,Writer
Trevor Timm, activist and legal analystÈÀ
Lidia Yuknavitch,Author
Mariano Sigman,Neuroscientist
Zaria Forman,Artist
Joseph Ravenell,Physician and menÛªs health advocate
Sue Desmond-Hellmann,CEO
Sue Desmond-Hellmann, Gates Foundation
Samantha Nutt,Doctor
Samantha Nutt, writer and humanitarian
Stephen Wilkes,Narrative photographer
CÌ©dric Villani,Mathematician
Amit Sood,Technologist
ShaoLan,Technologist
ShaoLan, entrepreneur
Sajay Samuel,Educator
Negin Farsad,Comedian
Negin Farsad, filmmaker
Andrew Youn,Anti-hunger activist
Jamila Raqib,Peacemaker
Andrew Pelling,Biohacker
Chris Milk,Immersive storyteller
Tristan Harris,Design thinker
Gill Hicks,Survivor and activist
Keolu Fox,Geneticist
Keolu Fox, indigenous rights activist
Seema Bansal,Education innovator
Brian Little,Personality researcher
Tom Hulme,Designer
Tom Hulme, venturer
Wanda Diaz Merced,Sonic astrophysicist
Blaise AgÌ_era y Arcas,Software architect
Julia Galef,Writer
Prosanta Chakrabarty,Ichthyologist
Marwa Al-Sabouni,Architect
Alexander Betts,Social scientist
Safwat Saleem,Artist
Safwat Saleem, graphic designer
Safwat Saleem, filmmaker
Elise Roy,Lawyer
Elise Roy, artist
Elise Roy, human rights advocate
Leila Hoteit,Women's advocate
Eric Haseltine,Author
Eric Haseltine, futurist
Eric Haseltine, innovator
Emma Marris,Environmental writer
Shubhendu Sharma,Eco-entrepreneur
Adam Savage,Maker
Adam Savage, critical thinker
Lisa Dyson,Sustainability crusader
eL Seed,Artist
Gerard Ryle,Investigative journalist
Ed Boyden,Neuroengineer
Suzanne Simard,Forest ecologist
Anthony Goldbloom,Machine learning expert
Martin Reeves,Strategist
Molly Winter,Designer
Ngozi Okonjo-Iweala,Economist
Dave Brain,Planetary scientist
Monica Araya,Climate advocate
James Green, Space physicist
Sarah Parcak,Satellite archaeologist + TED Prize winner
Anand Giridharadas,Writer
Gonzalo VilariÌ±o,Lawyer
Gonzalo VilariÌ±o, coach
Olivier Scalabre,Industrial systems thinker
Timothy Ihrig,Palliative care physician
Laura Boushnak,Photographer
Don Tapscott,Digital strategist
Vanessa Ruiz,Anatomical artist
Julia Bacha,Filmmaker
Christopher Bell,Media studies scholar
Kio Stark,Stranger enthusiast
Jonathan Tepperman,Global affairs thinker
James Veitch,Comedian and writer
Sal Khan,Educator and social entrepreneur
Courtney E. Martin,Journalist
David Camarillo,Bioengineer
Franz Freudenthal,Pediatric cardiologist
Neha Narula,Currency futurist
Julie Lythcott-Haims,Academic
Julie Lythcott-Haims, author
Michael Shellenberger,Climate policy expert
Michael Murphy,Designer
Abigail Marsh,Psychologist
Eric Liu,Civics educator
David Burkus,Management researcher
Nadia Lopez,Educator
Sebastian Kraves,Biotech entrepreneur
Rebecca MacKinnon,Internet freedom activist
J.D. Vance,Author
Camille A. Brown,Choreographer and educator
Oded Shoseyov,Nanobiotechnologist
Sam Harris,Neuroscientist
Sam Harris, philosopher
Helen Fisher,Anthropologist
Helen Fisher, expert on love
Ellen Jorgensen,Biologist
Ellen Jorgensen, community science advocate
Sayu Bhojwani,Immigration scholar
Adam de la Zerda,Biologist
Adam de la Zerda, electrical engineer
Isaac Lidsky,Author
Isaac Lidsky, entrepreneur
John McWhorter,Linguist
Ione Wells,Writer
Ione Wells, activist
Pico Iyer,Global author
Melissa Walker,Creative arts therapist
Jim Hemerling,Organizational change expert
Rachel Botsman,Trust researcher
Todd Coleman,Bioelectronics innovatorÈÀ
Zeynep Tufekci,Techno-sociologist
Manwar Ali,Peace activist
Philippa Neave,Electoral consultant
Wanis Kabbaj,Transportation geek
Ian Bremmer,Political theorist
Alyssa Monks,Painter
Tasos Frantzolas,Entrepreneur
Kelli Jean Drinkwater,Artist
Kelli Jean Drinkwater, activist 
Christopher Soghoian,Privacy researcher and activist
Kandice Sumner,Educator
Mallory Soldner,Data activist
Tim Leberecht,Business romantic
Halla TÌ_masdÌ_ttir,Change catalyst
Suzanne Barakat,Physician
Fawn Qiu,Technologist
Hector Garcia,Psychologist
Bettina Warburg,Blockchain entrepreneur and researcher
Steven Johnson,Writer
Victor Rios,Educator
Victor Rios, author
Roger Antonsen,Logician
Roger Antonsen, mathematician
Roger Antonsen, computer scientist
Sandi Toksvig,Broadcast personality
Sandi Toksvig, politician
Sandi Toksvig, author
Juan Enriquez,Futurist
Adam Galinsky,Social psychologist
Joe Lassiter,Energy scholar
Danny Dorling,Social geographer
Ryan Gravel,Urban planner
Ryan Gravel, designer
Ryan Gravel, author
Kate Adams,Digital storyteller
Natalie Panek,Rocket scientist
Natalie Panek, explorer
Jia Jiang,Author
Jia Jiang, blogger
Jia Jiang, entrepreneur
Elizabeth Lesser,Wellness specialist
Veerle Provoost,Bioethicist
Kevin B. Jones,Cancer researcher
Kevin Kelly,Digital visionary
Rebecca Brachman,Neuroscientist
Rebecca Brachman, writer
Rebecca Brachman, entrepreneur
Dena Simmons,Educator
Laura Vanderkam,Author
David Autor,Economist
Chinaka Hodge,Writer
Chinaka Hodge, educator
Anjali Tripathi,Astrophysicist
Sharon Brous,Rabbi
James Beacham,Experimental particle physicist
Adam Grant,Organizational psychologist
Erika Gregory,Nuclear reformer
Sam Kass,Food entrepreneur
Sofia Jawed-Wessel,Sex researcher
Mandy Len Catron,Writer
George Tulevski,Materials scientist
Dan Bricklin,Software pioneer
Alejandro SÌÁnchez Alvarado,Developmental and regeneration biologist
Sisonke Msimang,Writer
Sisonke Msimang, activist
Jennifer Brea,Filmmaker
Ashley Judd,Actor
Ashley Judd, activist
Emily Parsons-Lord,Artist
Robb Willer,Social psychologist
Paul Knoepfler,Biologist
Jeanne Gang,Architect
Caleb Barlow,Cybercrime fighter
Deeyah Khan,Filmmaker
Deepika Kurup,Inventor
Deepika Kurup, student scientist
Sarah Parcak,Satellite archaeologist + TED Prize winner
Alan Smith,Data visualisation editor
Eduardo BriceÌ±o,Learning expert
Sue Klebold,Activist
Nagin Cox,Spacecraft operations engineer
Maurice Conti,Designer
Maurice Conti, futurist
Joshua Smith,Cancer fighter
Jeff Speck,Urban planner
Aala El-Khani,Humanitarian psychologist
Miriam Zoila PÌ©rez,Writer
Miriam Zoila PÌ©rez, activist
Amy Adele Hasinoff,Communications researcher
Lara Setrakian,Journalist
Salil Dudani,Legal activist
Grady Booch,Scientist
Grady Booch, philosopher
Brittney Cooper,Cultural theorist
Jonathan Rossiter,Roboticist
Charity Wayua,Public sector researcher
Stacy Smith,Media researcher
Ani Liu,Designer
Ani Liu, artist
Jeff Kirschner,Entrepreneur
Lux Narayan,Entrepreneur
Kathy Hull,Pediatric psychologist
Carrie Poppy,Writer
Carrie Poppy, radio host
Carrie Poppy, comedian
Megan Phelps-Roper,Writer
Megan Phelps-Roper, activist
Caroline Paul,Author
Jude Kelly,Theater director
Jude Kelly, producer
Joy Buolamwini,Poet of code
John Koenig,Writer
Caitlin Doughty,Progressive mortician
Carrie Nugent,Asteroid hunter
Peggy Orenstein,Journalist
Peggy Orenstein, author
Karina Galperin,Literary scholar
Dan Bell,Filmmaker
Peter Weinstock,Pediatric ICU doctor
Michele L. Sullivan,Social innovator
Margaret Bourdeaux,Physician
Margaret Bourdeaux, global health policy analyst
Simon Anholt,Policy advisor
Mona Chalabi,Data journalist
Ashton Cofer,Youth inventor
Katie Hinde,Lactation researcher
Michael Botticelli,Drug policy expert
Moshe Szyf,Epigeneticist
Emtithal Mahmoud,Poet
Casey Brown,Pricing consultant
Katie Bouman,Imaging scientist
SebastiÌÁn Bortnik,Information security specialist 
David R. Williams,Public health sociologist
Giorgia Lupi,Information designer
Ari Wallach,Futurist
Jonathan Marks,Bioethicist
Jonathan Marks, lawyer
Todd Scott,First aid instructor
Zubaida Bai,Women's health advocate
Chimamanda Ngozi Adichie,Novelist
Siamak Hariri,Architect
Natasha Hurley-Walker,Astronomer
Amy Green,Video game designer
David Casarett,Physician
"Curtis ""Wall Street"" Carroll",Financial literacy advocate
Stephanie Busari,Journalist
Siddhartha Roy,Environmental engineer
His Holiness Pope Francis,Bishop of Rome
Lisa Genova,Neuroscientist
Lisa Genova, novelist
Deborah Lipstadt,Historian
Laura Galante,Cyberspace analyst
Sangu Delle,Entrepreneur
Karim Abouelnaga,Education entrepreneur
Carolyn Jones,Photographic ethnographer
Robert Sapolsky,Neuroscientist
Robert Sapolsky, primatologist
Robert Sapolsky, writer
Jorge Drexler,Musician
Jorge Drexler, poet
Kate Stafford,Oceanographer
Shah Rukh Khan,Actor
Shah Rukh Khan, producer
Shah Rukh Khan, activist
Stuart Russell,AI expert
Lucy Kalanithi,Caregiver
Ted Halstead,Policy entrepreneur
Ted Halstead, climate expert
Ted Halstead, author
Wendy Troxel,Sleep researcher
Rutger Bregman,Historian
Sitawa Wafula,Mental health advocate
Anthony D. Romero,Attorney
Anthony D. Romero, public-interest activist
Nina Fedoroff,Molecular biologist
 OK Go,Band
Triona McGrath,Chemical oceanographer
Garry Kasparov,Grandmaster
Garry Kasparov, analyst
Marlon Peterson,Human justice advocate
Raj Panjabi,Physician
Rhiannon Giddens,Musician
Michael Bierut,Designer
Michael Bierut, critic
Michael Patrick Lynch,Philosopher
Justin Davidson,Architecture critic
Carina Morillo,Autism advocate
Mehdi Ordikhani-Seyedlar,Neuroscientist
Anne Lamott,Novelist
Anne Lamott, essayist
Tim Ferriss,Investor
Tim Ferriss, human guinea pig
Tim Ferriss, author
Richard Browning,Founder
Richard Browning, Gravity
Katrina Spade,Inventor
Katrina Spade, designer
Katrina Spade, death care advocate
Sharon Terry,Citizen biomedical researcher
Jim Yong Kim,President
Jim Yong Kim, World Bank Group
Anab Jain,Futurist
Anab Jain, designer
David Miliband,Refugee advocate
SinÌ©ad Burke,Writer
SinÌ©ad Burke, educator
Cheyenne Cochrane,Storyteller
Luma Mufleh,Refugee activist
Manu Prakash,Physicist
Manu Prakash, inventor
Rabbi Lord Jonathan Sacks,Religious leader
Jorge Ramos,Journalist
Jorge Ramos, news anchor
Liz Hajek,Geoscientist
Adam Alter,Psychologist
Kate Marvel,Climate scientist
Anil Seth,Cognitive neuroscientist
Tricia Wang,Technology ethnographer
Noah Feldman,Constitutional law scholar
Susan Robinson,Business executive
Susan Robinson, entrepreneur
Grace Kim,Architect
Jimmy Lin,Geneticist
Tristan Harris,Design thinker
Jennifer Pluznick,Physiologist
Kristen Marhaver,Coral reef biologist
Marc Raibert,Roboticist
Titus Kaphar,Artist
Ingrid Betancourt,Writer
Ingrid Betancourt, peace advocate
FranÌ¤oise Mouly,Art editor
Joseph Redmon,Computer scientist
Tom Gruber,AI product designer
Anjan Chatterjee,Cognitive neuroscientist
Ashton Applewhite,Author
Ashton Applewhite, activist
David Baron,Science writer
Anne Madden,Microbiologist
Anne Madden, inventor and strategist
Damon Davis,Artist and filmmaker
Manoush Zomorodi,Tech podcaster
Ronald Sullivan,Clinical professor of law
Jack Conte,Musician
Jack Conte, entrepreneur
Peter Calthorpe,Urban designer
Richard J. Berry,Mayor of Albuquerque
Susan Pinker,Developmental psychologist
Anika Paulson,Student
Anika Paulson, musician
Cathy O'Neil,Mathematician
Cathy O'Neil, data scientist
Iyad Rahwan,Computational social scientist
David Whyte,Poet
David Whyte, author
Robin Hanson,Futurist
Robin Hanson, social scientist
Carolyn Bertozzi,Chemical biologist
Niki Okuk,Entrepreneur
Wanuri Kahiu,Filmmaker
Wanuri Kahiu, writer
Tara Winkler, Child protection leader
Tara Winkler, activist
Tara Winkler, author 
Noriko Arai,AI expert
Jennifer Granick,Surveillance and cybersecurity counsel
Chance Coughenour,Digital archaeologist
Chetan Bhatt,Sociologist
Chetan Bhatt, human rights activist
Daan Roosegaarde,Artist
Erin Marie Saltman,Policy researcher
Ray Dalio,Hedge fund chair
Tomaís Saraceno,Artist
Benjamin Grant,Author
OluTimehin Adegbeye,Writer
OluTimehin Adegbeye, activist
Emily Esfahani Smith,Author
