main_speaker,speaker_occupation
Newton Aduaka,Filmmaker
Jackie Tabick,Spiritual leader
Dayananda Saraswati,Vedantic teacher
James Forbes,Preacher
Feisal Abdul Rauf, Chairman of the Cordoba Initiative
Robert Thurman,Buddhist scholar
Robert Wright,Journalist
Robert Wright, philosopher
Graham Hawkes,Inventor
James Surowiecki,Finance journalist
John Francis,Planet walker
Tim Brown,Designer
Luca Turin,Nose
Lee Smolin,Physicist
Samantha Power,Political scientist and journalist
Charles Elachi,Planetary scientist
Ursus Wehrli,Comedian
Stewart Brand,Environmentalist
Stewart Brand, futurist
Isaac Mizrahi,Fashion designer
Franco Sacchi,Filmmaker
George Smoot,Astrophysicist
Bill Joy,Technologist and futurist
Dan Barber,Chef
Andy Hobsbawm,Internet entrepreneur
Gregory Petsko,Bioengineer
Richard Preston,Writer
Philip Rosedale,Entrepreneur
Larry Burns,Automotive researcher
Nick Sears,Inventor
David Holt,Folk musician
Eva Zeisel,Designer
Dennis vanEngelsdorp,Bee expert
Jay Walker,Entrepreneur
Dan Gilbert,Psychologist
Dan Gilbert, happiness expert
Benjamin Wallace,Author
Penelope Boston,Cave scientist
Steven Strogatz,Mathematician
Nicholas Negroponte,Tech visionary
Jennifer 8. Lee,Reporter
Kary Mullis,Biochemist
John Maeda,Artist
Paul Sereno,Paleontologist
Paul Moller,Inventor
Greg Lynn,Designer
Rob Forbes,Designer
Scott McCloud,Cartoonist
Peter Reinhart,Baker
Joseph Pine,Writer
Paula Scher,Designer at play
David Carson,Type designer
Jamais Cascio,World-builder
Barry Schuler,Entrepreneur
Sherwin Nuland,Doctor
Woody Norris,Inventor
Peter Ward,Paleontologist
Aimee Mullins,Athlete and actor
Joe DeRisi,Biochemist
Natalie MacMaster,Fiddler
Bill Gross,Idea guy
Bill Gates,Philanthropist
Elizabeth Gilbert,Writer
Milton Glaser,Graphic designer
David Merrill,MIT grad student
Barry Schwartz,Psychologist
Juan Enriquez,Futurist
JosÌ© Antonio Abreu,Maestro
Sylvia Earle,Oceanographer
Jill Tarter,Astronomer
Ed Ulbrich,Visual storyteller
Charles Moore,Oceanographer
Richard Pyle,Ichthyologist
Miru Kim,Photographer and explorer
Evan Williams,Twitter co-founder
Brenda Laurel,Designer and theorist
Willie Smits,Conservationist
Nalini Nadkarni,Tree researcher
Mike Rowe,TV host
Don Norman,Cognitive scientist and design critic
Aimee Mullins,Athlete and actor
Stuart Brown,Play researcher
Stuart Brown, psychiatrist
Tim Berners-Lee,Inventor
Dan Dennett,Philosopher
Dan Dennett, cognitive scientist
Dan Ariely,Behavioral economist
Adam Savage,Maker
Adam Savage, critical thinker
Bruce McCall,Humorist
Kamal Meattle,Business owner and activist
Saul Griffith,Inventor
Jacqueline Novogratz,Investor and advocate for moral leadership
David Pogue,Technology columnist
John Wooden,Coach
Nathan Wolfe,Virus hunter
C.K. Williams,Poet
Jacek Utko,Newspaper designer
Ueli Gegenschatz,Aerialist
Christopher C. Deam,Designer
P.W. Singer,Military analyst
Nathaniel Kahn,Filmmaker
Bruce Bueno de Mesquita,Political scientist
Bonnie Bassler,Molecular biologist
Emily Levine,Philosopher-comic
Renny Gleeson,Skeptimist
Shai Agassi,Green auto pioneer
Gregory Stock,Author
Gregory Stock, thinker
JoAnn Kuchera-Morin,Composer
Tim Ferriss,Investor
Tim Ferriss, human guinea pig
Tim Ferriss, author
Matthew Childs,Marketer
Matthew Childs, rock climber
Margaret Wertheim,Figurer
Niels Diffrient,Designer
Erik Hersman,Technologist
Nate Silver,Statistician
Ben Katchor,Cartoonist
Alex Tabarrok,Economist
Michael Merzenich,Neuroscientist
Sarah Jones,Polymorphic playwright
Laurie Garrett,Science journalist
Brian Cox,Physicist 
Sean Gourley,Physicist and military theorist
Mae Jemison,Astronaut
Mae Jemison, engineer
Mae Jemison, entrepreneur
Mae Jemison, physician and educator
Tom Shannon,Sculptor
Al Gore,Climate advocate
Louise Fresco,Food and agriculture expert
Seth Godin,Marketer and author
Hans Rosling,Global health expert
Hans Rosling, data visionary
Nandan Nilekani,Technologist and visionary
Ray Anderson,Sustainable-business pioneer
Dan Ariely,Behavioral economist
Mary Roach,Writer
Carolyn Porco,Planetary scientist
Joachim de Posada,Speaker and author
Jay Walker,Entrepreneur
Michelle Obama,First Lady of the United States
Jonathan Drori,Educator
Liz Coleman,College president
Ray Kurzweil,Inventor
Ray Kurzweil, futurist
Yann Arthus-Bertrand,Photographer
Felix Dennis,Publisher
Felix Dennis, philanthropist
Felix Dennis, poet
Pete Alcorn,Media exec
John La Grou,Inventor
Kevin Surace,Engineer
Kevin Surace, executive
Nancy Etcoff,Evolutionary psychologist
Robert Full,Biologist
Richard St. John,Marketer
Richard St. John, success analyst
Jane Poynter,Biospherian
Clay Shirky,Social Media Theorist
Diane Benscoter,Deprogrammer
Catherine Mohr,Roboticist
Philip Zimbardo,Psychologist
Paul Collier,Economist
Katherine Fulton,New philanthropist
Ray Zahab,Endurance runner
