talk_id,WC,comment_num,duration,talk_event,film_date,main_speaker,published_date,view_count
136,2608,49,931,TED2007,2007-03-03,Jeff Skoll,2007-08-21,727247
137,778,102,310,TED2007,2007-03-09,Dean Kamen,2007-08-28,1575699
138,2784,151,950,TED2007,2007-03-03,Erin McKean,2007-08-30,1013063
139,2450,126,1027,TEDGlobal 2007,2007-06-06,Andrew Mwenda,2007-09-04,722877
140,836,304,493,TED2007,2007-03-03,Theo Jansen,2007-09-06,3982352
141,2926,124,1047,TEDGlobal 2005,2005-07-07,Steven Pinker,2007-09-09,1914263
142,2825,677,1155,TED2007,2007-03-03,Steven Pinker,2007-09-10,2063367
143,2830,164,1056,TED2007,2007-03-03,Deborah Scranton,2007-09-13,507997
144,2475,65,951,TEDGlobal 2007,2007-06-07,Zeresenay Alemseged,2007-09-18,913666
145,3097,83,959,TED2007,2007-03-03,John Maeda,2007-09-20,1215947
146,4670,169,1782,TED2002,2002-02-02,Stephen Petranek,2007-09-25,1712075
147,2719,29,1280,TED2003,2003-02-02,Paul MacCready,2007-09-26,736290
148,2770,225,1029,TED2007,2007-03-03,Carolyn Porco,2007-10-01,2627709
151,1094,242,378,TED2007,2007-03-06,Hod Lipson,2007-10-11,1212346
152,3260,45,1050,TED2007,2007-03-03,Maira Kalman,2007-10-16,672254
153,2679,145,963,TED2007,2007-03-03,Jan Chipchase,2007-10-18,694378
154,4407,432,1414,TED2007,2007-03-03,VS Ramachandran,2007-10-21,3930186
155,3045,64,1234,TEDGlobal 2007,2007-06-06,Eleni Gabre-Madhin,2007-10-25,562457
156,3373,262,1338,TED2003,2001-02-02,Sherwin Nuland,2007-10-30,1522858
157,2893,412,1254,TED2004,2004-02-02,Matthieu Ricard,2007-11-01,7271730
158,2293,328,1136,TED2007,2007-03-03,Lawrence Lessig,2007-11-06,1895259
159,984,40,299,TED2007,2007-03-03,Paul Rothemund,2007-11-08,410563
160,3285,279,958,TEDSalon 2007 Hot Science,2007-09-09,David Keith,2007-11-13,876658
161,2878,115,1090,TEDSalon 2007 Hot Science,2007-09-09,Juan Enriquez,2007-11-15,898974
162,2595,46,1261,Skoll World Forum 2007,2007-01-01,Larry Brilliant,2007-11-21,418234
163,2955,31,1164,TED2005,2005-02-02,Robert Full,2007-11-27,707524
164,3098,185,1017,TEDGlobal 2007,2007-06-06,Ron Eglash,2007-11-29,1527858
165,2086,156,1026,TED2007,2007-03-03,Philippe Starck,2007-12-04,1783740
166,2368,160,962,TED2007,2007-03-03,Murray Gell-Mann,2007-12-06,1181696
167,3303,154,1184,TED2005,2005-02-02,Amory Lovins,2007-12-11,832668
168,2216,604,914,TED2005,2005-02-02,Arthur Benjamin,2007-12-13,8360707
169,2107,183,793,TED2007,2007-03-03,Daniel Goleman,2007-12-18,1604402
170,589,71,249,TED2007,2007-03-03,Lakshmi Pratury,2007-12-20,533761
171,1296,435,558,TED2007,2007-03-03,Gever Tulley,2007-12-21,4364865
172,2543,465,1080,TED2007,2007-03-03,Isabel Allende,2008-01-03,3741423
173,739,71,375,TED2007,2007-03-07,Yossi Vardi,2008-01-04,933311
174,3596,95,1231,TED2003,2003-02-02,Deborah Gordon,2008-01-08,928270
175,3142,227,1082,TED2007,2007-03-03,J.J. Abrams,2008-01-10,3519656
176,906,554,327,TED2007,2007-03-03,David Gallo,2008-01-11,13926113
177,3097,40,1097,TED2007,2007-03-03,Paola Antonelli,2008-01-15,585052
180,5472,95,2128,TED2002,2002-02-02,Bill Strickland,2008-01-20,611092
181,3141,205,1148,TED2007,2007-03-03,Bernie Dunlap,2008-01-23,1854024
182,537,51,255,TED2007,2007-03-03,David Pogue,2008-01-24,594523
183,2216,34,1056,TEDGlobal 2005,2005-07-07,Alison Jackson,2008-01-28,670863
184,1725,117,775,TED2002,2002-02-02,Chris Anderson,2008-01-30,324266
185,2355,78,819,TED2007,2007-03-03,Robin Chase,2008-01-31,434005
186,1605,63,943,TED2007,2007-03-03,Jaime Lerner,2008-02-04,596961
187,4146,30,1295,TED2002,2002-02-02,David Macaulay,2008-02-06,700273
188,2885,165,1045,TED2007,2007-03-03,Michael Pollan,2008-02-07,1359400
189,2419,60,1171,TED2005,2005-02-02,Howard Rheingold,2008-02-11,931001
191,1528,53,518,TED2002,2002-02-02,George Dyson,2008-02-14,785872
192,2513,29,1066,TED2002,2002-03-03,Moshe Safdie,2008-02-18,545664
195,926,43,326,TEDGlobal 2007,2007-06-06,Joseph Lekuton,2008-02-25,200726
196,598,26,202,TED2007,2007-03-03,Steve Jurvetson,2008-02-27,412154
198,2878,61,1237,TED2007,2007-03-03,Alan Kay,2008-03-04,777609
199,2358,137,954,TED2008,2008-02-28,Craig Venter,2008-03-06,1004893
200,3880,64,1523,TED1984,1984-02-02,Nicholas Negroponte,2008-03-11,974087
201,2688,2877,1099,TED2008,2008-02-27,Jill Bolte Taylor,2008-03-12,21190883
202,5705,9,2678,TED1990,1990-03-03,Frank Gehry,2008-03-13,620806
203,4692,231,1535,TED2008,2008-02-28,Dave Eggers,2008-03-18,1357888
204,2720,456,1288,TED2008,2008-02-28,Karen Armstrong,2008-03-19,1277619
205,3370,69,1490,TED2008,2008-02-28,Neil Turok,2008-03-20,473165
206,4154,67,1917,DLD 2007,2007-01-01,Norman Foster,2008-03-24,763815
207,695,156,242,TED2008,2008-02-29,Christopher deCharms,2008-03-24,1485761
208,2588,251,1077,TED2006,2006-02-28,Clifford Stoll,2008-03-26,2283491
210,674,82,264,TED2008,2008-02-29,Siegfried Woldhek,2008-04-01,1224127
211,506,39,230,TED2007,2007-03-03,David Hoffman,2008-04-02,311741
212,288,68,240,TED2007,2007-03-03,Jakob Trollback,2008-04-03,480377
213,909,551,612,TED2008,2008-02-27,Stephen Hawking,2008-04-04,8655723
214,2386,664,1674,TED2008,2008-03-03,Al Gore,2008-04-08,1751426
215,877,258,340,TED2008,2008-02-28,Johnny Lee,2008-04-11,5483940
217,2704,92,1072,TEDGlobal 2005,2005-07-07,Yochai Benkler,2008-04-16,753974
